sample	cov_mt_NC_040875.1	cov_NC_031770.1	cov_NC_031799.1	ratio_Z_over_3
/work/mnikvell/data/mapped_reads/s10_EKDN230004359-1A_HNHMFDSX5_L3/s10_EKDN230004359-1A_HNHMFDSX5_L3_sorted_dedup.bam	1885.35	34.9597	19.8223	0.567002
/work/mnikvell/data/mapped_reads/s11_EKDN230004360-1A_HNHMFDSX5_L3/s11_EKDN230004360-1A_HNHMFDSX5_L3_sorted_dedup.bam	2790.41	42.2735	43.5308	1.02974
/work/mnikvell/data/mapped_reads/s12_EKDN230004361-1A_HNHMFDSX5_L3/s12_EKDN230004361-1A_HNHMFDSX5_L3_sorted_dedup.bam	2445.72	41.3166	42.7303	1.03421
/work/mnikvell/data/mapped_reads/s13_EKDN230004362-1A_HNHMFDSX5_L3/s13_EKDN230004362-1A_HNHMFDSX5_L3_sorted_dedup.bam	2135.04	40.3651	41.6856	1.03271
/work/mnikvell/data/mapped_reads/s14_EKDN230004363-1A_HNHMFDSX5_L3/s14_EKDN230004363-1A_HNHMFDSX5_L3_sorted_dedup.bam	2232.38	41.6078	23.6293	0.567904
/work/mnikvell/data/mapped_reads/s15_EKDN230004364-1A_HNHMFDSX5_L3/s15_EKDN230004364-1A_HNHMFDSX5_L3_sorted_dedup.bam	2774.26	41.5892	23.6957	0.569755
/work/mnikvell/data/mapped_reads/s16_EKDN230004365-1A_HNHMFDSX5_L3/s16_EKDN230004365-1A_HNHMFDSX5_L3_sorted_dedup.bam	2114.49	40.2152	41.4554	1.03084
/work/mnikvell/data/mapped_reads/s17_EKDN230004366-1A_HNHMFDSX5_L4/s17_EKDN230004366-1A_HNHMFDSX5_L4_sorted_dedup.bam	3236.58	51.3486	28.9147	0.563104
/work/mnikvell/data/mapped_reads/s18_EKDN230004367-1A_HNHMFDSX5_L4/s18_EKDN230004367-1A_HNHMFDSX5_L4_sorted_dedup.bam	3187.44	41.2524	23.4617	0.568734
/work/mnikvell/data/mapped_reads/s19_EKDN230004368-1A_HNHMFDSX5_L4/s19_EKDN230004368-1A_HNHMFDSX5_L4_sorted_dedup.bam	1870.53	36.3196	37.4261	1.03046
/work/mnikvell/data/mapped_reads/S1_EKDN230004350-1A_HNW2NDSX5_L1/S1_EKDN230004350-1A_HNW2NDSX5_L1_sorted_dedup.bam	2937.39	50.4075	28.5704	0.566787
/work/mnikvell/data/mapped_reads/s20_EKDN230004369-1A_HNHMFDSX5_L4/s20_EKDN230004369-1A_HNHMFDSX5_L4_sorted_dedup.bam	2029.34	41.9444	32.8208	0.782483
/work/mnikvell/data/mapped_reads/S2_EKDN230004351-1A_HNHMFDSX5_L3/S2_EKDN230004351-1A_HNHMFDSX5_L3_sorted_dedup.bam	3168.5	41.4366	42.987	1.03742
/work/mnikvell/data/mapped_reads/s3_EKDN230004352-1A_HNHMFDSX5_L3/s3_EKDN230004352-1A_HNHMFDSX5_L3_sorted_dedup.bam	2850.83	44.0774	45.513	1.03257
/work/mnikvell/data/mapped_reads/s4_EKDN230004353-1A_HNHMFDSX5_L3/s4_EKDN230004353-1A_HNHMFDSX5_L3_sorted_dedup.bam	2365.01	45.0755	25.5796	0.567481
/work/mnikvell/data/mapped_reads/s5_EKDN230004354-1A_HNHMFDSX5_L3/s5_EKDN230004354-1A_HNHMFDSX5_L3_sorted_dedup.bam	1954.82	43.9708	24.8279	0.564645
/work/mnikvell/data/mapped_reads/s6_EKDN230004355-1A_HNHMFDSX5_L3/s6_EKDN230004355-1A_HNHMFDSX5_L3_sorted_dedup.bam	3318.5	42.63	24.1675	0.56691
/work/mnikvell/data/mapped_reads/s7_EKDN230004356-1A_HNHMFDSX5_L3/s7_EKDN230004356-1A_HNHMFDSX5_L3_sorted_dedup.bam	2772.39	53.1131	54.7634	1.03107
/work/mnikvell/data/mapped_reads/s8_EKDN230004357-1A_HNW3NDSX5_L1/s8_EKDN230004357-1A_HNW3NDSX5_L1_sorted_dedup.bam	2051.23	41.0439	42.2449	1.02926
/work/mnikvell/data/mapped_reads/s9_EKDN230004358-1A_HNHMFDSX5_L3/s9_EKDN230004358-1A_HNHMFDSX5_L3_sorted_dedup.bam	2484.01	43.2208	44.7074	1.03439
