sample	mean	standard_deviation	coefficient_of_variation
/work/mnikvell/data/mapped_reads/s10_EKDN230004359-1A_HNHMFDSX5_L3/s10_EKDN230004359-1A_HNHMFDSX5_L3_sorted_dedup.bam	36.3958	405.744	11.1481
/work/mnikvell/data/mapped_reads/s11_EKDN230004360-1A_HNHMFDSX5_L3/s11_EKDN230004360-1A_HNHMFDSX5_L3_sorted_dedup.bam	44.7308	419.18	9.37117
/work/mnikvell/data/mapped_reads/s12_EKDN230004361-1A_HNHMFDSX5_L3/s12_EKDN230004361-1A_HNHMFDSX5_L3_sorted_dedup.bam	43.8422	425.995	9.71655
/work/mnikvell/data/mapped_reads/s13_EKDN230004362-1A_HNHMFDSX5_L3/s13_EKDN230004362-1A_HNHMFDSX5_L3_sorted_dedup.bam	43.0866	541.269	12.5624
/work/mnikvell/data/mapped_reads/s14_EKDN230004363-1A_HNHMFDSX5_L3/s14_EKDN230004363-1A_HNHMFDSX5_L3_sorted_dedup.bam	42.8423	518.831	12.1103
/work/mnikvell/data/mapped_reads/s15_EKDN230004364-1A_HNHMFDSX5_L3/s15_EKDN230004364-1A_HNHMFDSX5_L3_sorted_dedup.bam	42.3774	407.97	9.62707
/work/mnikvell/data/mapped_reads/s16_EKDN230004365-1A_HNHMFDSX5_L3/s16_EKDN230004365-1A_HNHMFDSX5_L3_sorted_dedup.bam	43.1632	547.486	12.6841
/work/mnikvell/data/mapped_reads/s17_EKDN230004366-1A_HNHMFDSX5_L4/s17_EKDN230004366-1A_HNHMFDSX5_L4_sorted_dedup.bam	51.8115	403.335	7.78465
/work/mnikvell/data/mapped_reads/s18_EKDN230004367-1A_HNHMFDSX5_L4/s18_EKDN230004367-1A_HNHMFDSX5_L4_sorted_dedup.bam	43.1481	492.386	11.4115
/work/mnikvell/data/mapped_reads/s19_EKDN230004368-1A_HNHMFDSX5_L4/s19_EKDN230004368-1A_HNHMFDSX5_L4_sorted_dedup.bam	38.2211	362.713	9.48984
/work/mnikvell/data/mapped_reads/S1_EKDN230004350-1A_HNW2NDSX5_L1/S1_EKDN230004350-1A_HNW2NDSX5_L1_sorted_dedup.bam	52.6011	731.236	13.9015
/work/mnikvell/data/mapped_reads/s20_EKDN230004369-1A_HNHMFDSX5_L4/s20_EKDN230004369-1A_HNHMFDSX5_L4_sorted_dedup.bam	43.5818	518.162	11.8894
/work/mnikvell/data/mapped_reads/S2_EKDN230004351-1A_HNHMFDSX5_L3/S2_EKDN230004351-1A_HNHMFDSX5_L3_sorted_dedup.bam	43.7937	578.851	13.2177
/work/mnikvell/data/mapped_reads/s3_EKDN230004352-1A_HNHMFDSX5_L3/s3_EKDN230004352-1A_HNHMFDSX5_L3_sorted_dedup.bam	46.8928	643.543	13.7237
/work/mnikvell/data/mapped_reads/s4_EKDN230004353-1A_HNHMFDSX5_L3/s4_EKDN230004353-1A_HNHMFDSX5_L3_sorted_dedup.bam	45.6774	413.703	9.05707
/work/mnikvell/data/mapped_reads/s5_EKDN230004354-1A_HNHMFDSX5_L3/s5_EKDN230004354-1A_HNHMFDSX5_L3_sorted_dedup.bam	44.4764	645.987	14.5243
/work/mnikvell/data/mapped_reads/s6_EKDN230004355-1A_HNHMFDSX5_L3/s6_EKDN230004355-1A_HNHMFDSX5_L3_sorted_dedup.bam	43.6807	419.635	9.60688
/work/mnikvell/data/mapped_reads/s7_EKDN230004356-1A_HNHMFDSX5_L3/s7_EKDN230004356-1A_HNHMFDSX5_L3_sorted_dedup.bam	55.4673	450.092	8.11455
/work/mnikvell/data/mapped_reads/s8_EKDN230004357-1A_HNW3NDSX5_L1/s8_EKDN230004357-1A_HNW3NDSX5_L1_sorted_dedup.bam	43.8425	621.76	14.1817
/work/mnikvell/data/mapped_reads/s9_EKDN230004358-1A_HNHMFDSX5_L3/s9_EKDN230004358-1A_HNHMFDSX5_L3_sorted_dedup.bam	46.257	441.182	9.53764
