a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	1514	0.981248	0.000001	0.018745	0.000003	0.000000	0.000002	0.000000	0.000000	0.000001	0.018746	0.000003	0.000003	0.009373	0.000001	0.000001	0.018745	0.000001	0.018745	0.018749	-0.000000	-2107.017445	74	-1	0.227157	2.860852e-01,2.230370e-01,7.532418e-09,1.876713e-01,3.032060e-01,6.367892e-08,1.528053e-08,3.857486e-09,4.369854e-07	0.000000	0.738251	0.298102	-2184.560014	22
0	2	1356	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000563	0.000001	0.000000	0.000281	0.000000	0.000000	0.000562	0.000000	0.000563	0.000563	0.000000	-1869.893320	146	-1869.894029	0.203451	2.993408e-01,1.916328e-01,2.313052e-07,2.097697e-01,2.992562e-01,1.343944e-07,1.500957e-10,1.801598e-07,3.861823e-08	0.000001	0.745526	0.299281	-1939.517688	22
0	3	1468	0.958314	0.000002	0.041684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041685	0.000000	0.000000	0.020842	0.000000	0.000000	0.041684	0.000000	0.041684	0.041685	-0.000000	-2096.087999	94	-1	0.220255	2.993488e-01,1.899739e-01,7.908849e-08,2.022140e-01,3.084627e-01,1.360441e-07,3.048205e-08,3.307153e-07,3.028520e-09	0.000000	0.786517	0.305677	-2173.439419	22
0	4	1477	0.890397	0.000000	0.109603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.109603	0.000000	0.000000	0.054801	0.000000	0.000000	0.109603	0.000000	0.109603	0.109603	-0.000000	-2138.270807	66	-1	0.221605	2.836428e-01,1.905633e-01,5.768321e-08,1.820186e-01,3.437746e-01,5.958695e-13,4.892533e-08,5.638079e-07,3.168607e-08	0.000000	0.922681	0.324275	-2165.704217	18
0	5	1444	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	-2048.925626	70	-2048.926518	0.216654	2.645955e-01,2.359078e-01,1.616761e-07,2.578285e-01,2.416653e-01,3.707587e-07,9.497764e-07,3.114327e-07,1.093572e-06	0.000005	0.489460	0.247335	-2141.463010	27
0	6	1502	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000225	0.000000	0.000000	0.000112	0.000000	0.000000	0.000225	0.000000	0.000225	0.000225	0.000000	-2135.858746	154	-2135.859150	0.225356	2.625185e-01,2.128201e-01,5.430742e-08,2.279360e-01,2.967244e-01,2.237483e-08,4.442177e-07,3.003327e-07,7.122278e-08	0.000002	0.673215	0.286910	-2205.150304	26
0	7	1489	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000028	0.000000	0.000000	0.000014	0.000000	0.000000	0.000028	0.000000	0.000028	0.000028	0.000000	-2226.066094	98	-2226.066476	0.223406	2.876200e-01,1.991853e-01,1.518482e-07,2.374566e-01,2.757362e-01,1.178434e-10,8.864777e-08,1.209579e-06,4.570263e-07	0.000001	0.631491	0.279052	-2292.539067	22
0	8	1557	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000002	0.000003	0.000000	-2243.370892	74	-2243.371129	0.233608	2.387495e-01,2.352609e-01,4.751498e-07,2.003707e-01,3.256173e-01,2.098454e-07,5.908369e-08,7.944907e-07,2.725013e-08	0.000002	0.747458	0.299592	-2264.153596	19
0	9	1335	0.953391	0.000005	0.046603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046606	0.000000	0.000000	0.023303	0.000000	0.000000	0.046603	0.000000	0.046603	0.046606	-0.000000	-1903.441059	74	-1	0.200300	3.005953e-01,1.906586e-01,1.791114e-08,2.090843e-01,2.996616e-01,1.345635e-07,2.893580e-08,6.499396e-08,4.988703e-10	0.000000	0.749635	0.299942	-1948.389898	22
0	10	1704	0.964274	0.000001	0.035725	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035725	0.000000	0.000000	0.017863	0.000000	0.000000	0.035725	0.000000	0.035725	0.035726	0.000000	-2431.194299	94	-1	0.255664	2.521658e-01,2.316152e-01,1.954254e-07,1.695148e-01,3.467035e-01,4.662745e-07,4.547948e-09,1.464865e-08,4.383844e-08	0.000001	0.864316	0.316758	-2453.350044	22
