a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	s10	s11	1372282	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000006	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000005	-0.000002	-1811122.809823	66	-1811123.538505	0.993694	4.658150e-01,1.571326e-01,2.128990e-02,1.885473e-01,1.039082e-01,1.925660e-02,2.047789e-02,1.803417e-02,5.538357e-03	0.401968	0.244640	0.034484	-2109415.853792	6
0	2	s10	s12	1372449	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000003	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000004	-0.000000	-1820049.795793	62	-1820050.661820	0.993815	4.566142e-01,1.663927e-01,2.120016e-02,1.896851e-01,1.040155e-01,1.803152e-02,2.117896e-02,1.788767e-02,4.994124e-03	0.407431	0.239460	0.032094	-2117866.419967	6
0	3	s10	s13	1372108	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000003	0.000010	0.000004	0.000003	0.000003	0.000000	0.000003	0.000003	0.000008	-0.000004	-1817509.169001	47	-1817510.388913	0.993568	4.633633e-01,1.591581e-01,2.175742e-02,1.884352e-01,1.040413e-01,1.917688e-02,2.031724e-02,1.824105e-02,5.509424e-03	0.404403	0.243607	0.033539	-2114136.747328	6
0	4	s10	s14	1372909	0.494162	0.330645	0.175190	0.000000	0.000000	0.000002	0.000001	0.000000	0.000000	0.340514	0.000003	0.000000	0.170257	0.000001	0.000000	0.175190	0.000000	0.175190	0.340515	0.000001	-1766549.922399	66	-1	0.994148	5.194273e-01,1.163266e-01,8.253148e-03,1.188797e-01,1.707651e-01,2.227564e-02,8.169411e-03,2.191566e-02,1.398751e-02	0.096170	0.577260	0.222119	-1997914.056732	6
0	5	s10	s15	1372353	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	0.000004	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000004	-0.000000	-1840983.823445	51	-1840984.845040	0.993746	4.535619e-01,1.689197e-01,2.164812e-02,1.749553e-01,1.187030e-01,1.814243e-02,2.127005e-02,1.770792e-02,5.091656e-03	0.361559	0.280858	0.053257	-2133794.534844	6
0	6	s10	s16	1372203	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000014	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	-0.000007	-1818081.202898	58	-1818081.819764	0.993637	4.682147e-01,1.540672e-01,2.192980e-02,1.864207e-01,1.047723e-01,2.053370e-02,2.013219e-02,1.791281e-02,6.016561e-03	0.401461	0.248868	0.035088	-2112849.453749	6
0	7	s10	s17	1372597	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000004	0.000004	0.000004	0.000004	0.000004	0.000000	0.000004	0.000004	0.000005	-0.000000	-1829507.770815	59	-1829508.907445	0.993922	4.555073e-01,1.683221e-01,2.031106e-02,1.734784e-01,1.206150e-01,1.769166e-02,2.091762e-02,1.800546e-02,5.151352e-03	0.341820	0.288052	0.061671	-2127860.041014	6
0	8	s10	s18	1372198	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000004	0.000000	0.000000	0.000001	0.000000	0.000001	0.000007	-0.000000	-1832330.296451	58	-1832330.824752	0.993634	4.609259e-01,1.617211e-01,2.148719e-02,1.730059e-01,1.195545e-01,1.926248e-02,2.027139e-02,1.827162e-02,5.499982e-03	0.349285	0.288765	0.058945	-2127460.769396	6
0	9	s10	s19	1372129	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000001	0.000002	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	-0.000001	-1805286.676811	58	-1805287.428684	0.993584	4.559336e-01,1.668206e-01,2.143892e-02,1.903264e-01,1.034235e-01,1.796697e-02,2.135611e-02,1.803358e-02,4.700266e-03	0.413784	0.237241	0.029723	-2118052.190912	6
0	10	s10	S1	1372680	0.978975	0.000015	0.021010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021017	0.000000	0.000000	0.010509	0.000000	0.000000	0.021010	0.000000	0.021010	0.021017	-0.000000	-1832329.640094	74	-1	0.993983	4.703394e-01,1.534314e-01,2.034236e-02,1.648601e-01,1.267064e-01,2.027423e-02,1.825445e-02,1.909288e-02,6.698909e-03	0.304616	0.319759	0.081026	-2119250.868425	6
