a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	1372282	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000012	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000009	-0.000006	-1811122.809823	50	-1811123.891842	0.993694	4.658214e-01,1.571249e-01,2.129409e-02,1.885395e-01,1.039192e-01,1.925576e-02,2.047856e-02,1.803041e-02,5.536178e-03	0.401973	0.244675	0.034486	-2109415.853873	6
0	2	1372449	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000002	0.000002	0.000004	0.000002	0.000002	0.000000	0.000002	0.000002	0.000006	-0.000000	-1820049.795793	58	-1820050.873175	0.993815	4.566200e-01,1.663902e-01,2.119856e-02,1.896773e-01,1.040144e-01,1.803229e-02,2.117689e-02,1.788931e-02,5.001091e-03	0.407400	0.239463	0.032105	-2117866.427627	6
0	3	1372108	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000008	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000006	-0.000003	-1817509.169001	50	-1817510.080319	0.993568	4.633734e-01,1.591510e-01,2.175725e-02,1.884236e-01,1.040496e-01,1.917612e-02,2.031923e-02,1.823953e-02,5.510204e-03	0.404389	0.243638	0.033547	-2114136.749118	6
0	4	1372909	0.494148	0.330654	0.175184	0.000005	0.000004	0.000001	0.000004	0.000000	0.000000	0.340517	0.000005	0.000010	0.170259	0.000002	0.000002	0.175185	0.000000	0.175185	0.340522	-0.000002	-1766551.030175	58	-1	0.994148	5.194409e-01,1.163155e-01,8.254152e-03,1.188521e-01,1.707901e-01,2.227344e-02,8.175388e-03,2.191487e-02,1.398350e-02	0.096197	0.577412	0.222134	-1997914.063823	6
0	5	1372353	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000001	0.000003	-0.000000	-1840983.823445	54	-1840984.180308	0.993746	4.535654e-01,1.689153e-01,2.164758e-02,1.749459e-01,1.187137e-01,1.814100e-02,2.127238e-02,1.770656e-02,5.092145e-03	0.361542	0.280894	0.053268	-2133794.535150	6
0	6	1372203	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000013	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000008	-0.000005	-1818081.202898	62	-1818082.011407	0.993637	4.682156e-01,1.540629e-01,2.193287e-02,1.864187e-01,1.047743e-01,2.053283e-02,2.013232e-02,1.791179e-02,6.018613e-03	0.401484	0.248875	0.035080	-2112849.454765	6
0	7	1372597	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-1829507.770815	46	-1829508.409409	0.993922	4.555066e-01,1.683230e-01,2.031121e-02,1.734783e-01,1.206158e-01,1.769187e-02,2.091567e-02,1.800506e-02,5.152605e-03	0.341803	0.288055	0.061678	-2127860.041279	6
0	8	1372198	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015	0.000001	0.000001	0.000008	0.000001	0.000001	0.000005	0.000001	0.000007	0.000015	-0.000000	-1832330.296451	59	-1832331.512543	0.993634	4.609189e-01,1.617305e-01,2.148685e-02,1.730136e-01,1.195464e-01,1.926257e-02,2.026981e-02,1.827282e-02,5.498474e-03	0.349293	0.288734	0.058938	-2127460.768972	6
0	9	1372129	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000003	0.000003	0.000004	0.000003	0.000003	0.000000	0.000003	0.000003	0.000005	-0.000000	-1805286.676811	47	-1805287.776472	0.993584	4.559264e-01,1.668253e-01,2.143884e-02,1.903369e-01,1.034163e-01,1.796714e-02,2.135433e-02,1.803393e-02,4.700845e-03	0.413795	0.237217	0.029717	-2118052.189744	6
0	10	1372680	0.978968	0.000011	0.021022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021027	0.000000	0.000000	0.010514	0.000000	0.000000	0.021022	0.000000	0.021022	0.021027	-0.000000	-1832329.580782	70	-1	0.993983	4.703478e-01,1.534271e-01,2.034515e-02,1.648428e-01,1.267180e-01,2.027182e-02,1.825397e-02,1.909408e-02,6.699238e-03	0.304606	0.319805	0.081038	-2119250.872258	6
