a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	s10	s11	871389	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	-0.000000	-1145382.406048	66	-1145382.676173	0.991455	4.668818e-01,1.548368e-01,2.139914e-02,1.783028e-01,1.172491e-01,1.958923e-02,1.922838e-02,1.699935e-02,5.513487e-03	0.346506	0.285725	0.059570	-1343244.935872	6
0	2	s10	s12	871500	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	0.000000	-1155336.762690	59	-1155337.456051	0.991582	4.479592e-01,1.741860e-01,2.097125e-02,1.814184e-01,1.169405e-01,1.675703e-02,2.068764e-02,1.669753e-02,4.382362e-03	0.356240	0.271501	0.053974	-1352100.439139	6
0	3	s10	s13	871430	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000000	-1144587.604889	46	-1144587.759800	0.991502	4.657654e-01,1.560980e-01,2.127808e-02,1.783544e-01,1.175980e-01,1.914852e-02,1.909801e-02,1.720476e-02,5.454872e-03	0.343340	0.286000	0.060801	-1343561.593947	6
0	4	s10	s14	872293	0.363465	0.425654	0.210880	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.423707	0.000001	0.000001	0.211854	0.000000	0.000000	0.210881	0.000000	0.210881	0.423708	-0.000000	-1089098.584294	74	-1	0.992484	5.324987e-01,1.049325e-01,5.390810e-03,1.087450e-01,1.845501e-01,2.208917e-02,5.189663e-03,2.104968e-02,1.555431e-02	0.057331	0.690173	0.261040	-1236180.336318	6
0	5	s10	s15	871556	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	-0.000000	-1159425.266349	38	-1159425.722378	0.991645	4.472416e-01,1.749478e-01,2.089467e-02,1.766771e-01,1.218020e-01,1.666995e-02,2.051013e-02,1.674412e-02,4.512657e-03	0.339935	0.285623	0.062026	-1354467.188496	6
0	6	s10	s16	871287	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000003	0.000003	0.000005	0.000003	0.000003	0.000000	0.000003	0.000003	0.000006	-0.000000	-1145320.125600	50	-1145320.796402	0.991339	4.649339e-01,1.564696e-01,2.175783e-02,1.790247e-01,1.170258e-01,1.902663e-02,1.930961e-02,1.718067e-02,5.271249e-03	0.350926	0.283514	0.057599	-1343883.629603	6
0	7	s10	s17	871781	0.950831	0.000015	0.000000	0.000000	0.049155	0.000000	0.000000	0.000000	0.000000	0.036873	0.000000	0.049155	0.024581	0.000000	0.024577	0.000000	0.000000	0.000000	0.049162	0.000000	-1164537.544667	70	-1	0.991901	4.748587e-01,1.520683e-01,1.606905e-02,1.692581e-01,1.137016e-01,3.229010e-02,1.728941e-02,1.499804e-02,9.466769e-03	0.293386	0.282859	0.078831	-1349061.064735	6
0	8	s10	s18	871555	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000003	0.000003	0.000005	0.000003	0.000003	0.000002	0.000003	0.000005	0.000007	-0.000000	-1151540.410802	66	-1151541.057653	0.991644	4.628051e-01,1.586034e-01,2.166815e-02,1.724347e-01,1.237378e-01,1.899775e-02,1.936075e-02,1.713053e-02,5.261776e-03	0.331579	0.303134	0.067812	-1348403.628998	6
0	9	s10	s19	871328	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000005	-0.000000	-1147130.576421	54	-1147131.044087	0.991386	4.535716e-01,1.684399e-01,2.106672e-02,1.791508e-01,1.181062e-01,1.788393e-02,1.987957e-02,1.718502e-02,4.716271e-03	0.346690	0.278812	0.058516	-1350849.853151	6
0	10	s10	S1	871739	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	-0.000000	-1148938.186848	58	-1148938.384014	0.991853	4.584218e-01,1.633411e-01,2.124428e-02,1.743322e-01,1.220667e-01,1.884793e-02,1.949330e-02,1.713804e-02,5.114722e-03	0.333732	0.294565	0.065704	-1351083.001816	6
