a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	1514	0.981149	0.000000	0.018850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018850	0.000001	0.000001	0.009425	0.000000	0.000000	0.018850	0.000000	0.018851	0.018851	0.000000	-2107.016159	110	-1	0.227157	2.860857e-01,2.230367e-01,5.967179e-07,1.876709e-01,3.032048e-01,1.231723e-07,5.441849e-07,5.523284e-07,1.232372e-07	0.000004	0.738247	0.298100	-2184.560630	22
0	2	1356	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000727	0.000000	0.000000	0.000364	0.000000	0.000000	0.000727	0.000000	0.000727	0.000727	0.000000	-1869.893320	198	-1869.894010	0.203451	2.993410e-01,1.916323e-01,1.009683e-07,2.097701e-01,2.992561e-01,1.376459e-07,5.673932e-11,1.988637e-07,8.488101e-08	0.000000	0.745526	0.299281	-1939.517655	22
0	3	1468	0.958339	0.000001	0.041660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041660	0.000000	0.000000	0.020830	0.000000	0.000000	0.041660	0.000000	0.041660	0.041660	0.000000	-2096.087937	66	-1	0.220255	2.993484e-01,1.899741e-01,1.050683e-09,2.022144e-01,3.084631e-01,5.520278e-10,8.592566e-10,4.747381e-09,7.921898e-09	0.000000	0.786517	0.305677	-2173.439149	22
0	4	1477	0.890400	0.000001	0.109600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.109600	0.000000	0.000000	0.054800	0.000000	0.000000	0.109600	0.000000	0.109600	0.109600	-0.000000	-2138.270813	98	-1	0.221605	2.836432e-01,1.905640e-01,3.410297e-07,1.820179e-01,3.437731e-01,9.669842e-08,3.787979e-07,4.142456e-07,4.753678e-07	0.000002	0.922675	0.324274	-2165.705002	19
0	5	1444	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000002	0.000002	0.000000	0.000001	0.000000	0.000000	0.000000	0.000005	0.000001	-2048.925626	86	-2048.926900	0.216654	2.645952e-01,2.359104e-01,9.572350e-07,2.578298e-01,2.416602e-01,8.603554e-09,9.668196e-08,3.356539e-06,3.052849e-10	0.000004	0.489444	0.247331	-2141.462423	30
0	6	1502	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000466	0.000000	0.000000	0.000233	0.000000	0.000000	0.000465	0.000000	0.000466	0.000466	-0.000000	-2135.858746	202	-2135.859767	0.225356	2.625162e-01,2.128216e-01,3.257323e-07,2.279370e-01,2.967228e-01,1.658337e-07,4.762626e-08,1.579726e-06,1.458338e-07	0.000001	0.673206	0.286908	-2205.150641	26
0	7	1489	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000045	0.000000	0.000000	0.000022	0.000000	0.000000	0.000044	0.000000	0.000045	0.000045	0.000000	-2226.066094	90	-2226.066688	0.223406	2.876210e-01,1.991849e-01,2.965887e-07,2.374560e-01,2.757357e-01,3.671442e-09,2.141606e-07,1.240506e-06,6.636733e-07	0.000002	0.631491	0.279052	-2292.539339	22
0	8	1557	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000031	0.000000	0.000000	0.000016	0.000000	0.000000	0.000031	0.000000	0.000031	0.000031	-0.000000	-2243.370892	106	-2243.371929	0.233608	2.387482e-01,2.352605e-01,3.394401e-07,2.003697e-01,3.256196e-01,9.156754e-07,1.672287e-07,3.040670e-07,3.095996e-07	0.000002	0.747465	0.299593	-2264.154230	19
0	9	1335	0.953413	0.000002	0.046584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046585	0.000000	0.000000	0.023293	0.000000	0.000000	0.046584	0.000000	0.046584	0.046585	0.000000	-1903.440868	78	-1	0.200300	3.005955e-01,1.906586e-01,2.110164e-08,2.090838e-01,2.996620e-01,2.973409e-09,1.049602e-08,7.299791e-09,1.470034e-08	0.000000	0.749638	0.299942	-1948.389831	22
0	10	1704	0.964288	0.000000	0.035712	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035712	0.000000	0.000000	0.017856	0.000000	0.000000	0.035712	0.000000	0.035712	0.035712	0.000000	-2431.194134	82	-1	0.255664	2.521654e-01,2.316163e-01,2.502179e-08,1.695151e-01,3.467021e-01,2.573503e-08,2.368453e-07,8.313278e-07,3.068354e-11	0.000001	0.864308	0.316757	-2453.349901	22
