a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	1514	0.981183	0.000000	0.018817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018817	0.000000	0.000000	0.009408	0.000000	0.000000	0.018817	0.000000	0.018817	0.018817	-0.000000	-2107.015937	106	-1	0.227157	2.860851e-01,2.230384e-01,1.369854e-07,1.876724e-01,3.032017e-01,7.743759e-07,4.586512e-07,2.940261e-07,8.184599e-07	0.000002	0.738234	0.298099	-2184.560931	23
0	2	1356	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000515	0.000000	0.000000	0.000258	0.000000	0.000000	0.000515	0.000000	0.000515	0.000515	-0.000000	-1869.893320	174	-1869.893770	0.203451	2.993411e-01,1.916331e-01,9.962264e-10,2.097702e-01,2.992548e-01,1.446600e-11,8.286357e-10,7.961703e-07,1.885613e-08	0.000000	0.745520	0.299281	-1939.517655	22
0	3	1468	0.958349	0.000002	0.041646	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.041650	0.000004	0.000004	0.020827	0.000003	0.000003	0.041646	0.000003	0.041649	0.041650	0.000000	-2096.089588	71	-1	0.220255	2.993475e-01,1.899743e-01,1.613632e-08,2.022142e-01,3.084637e-01,3.502536e-10,1.748663e-09,2.388485e-08,2.108794e-07	0.000000	0.786519	0.305677	-2173.439391	22
0	4	1477	0.890399	0.000003	0.109598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.109600	0.000000	0.000000	0.054800	0.000000	0.000000	0.109598	0.000000	0.109598	0.109600	-0.000000	-2138.271015	94	-1	0.221605	2.836430e-01,1.905625e-01,2.904122e-09,1.820184e-01,3.437761e-01,3.876574e-10,1.503326e-08,2.036606e-09,4.852232e-08	0.000000	0.922688	0.324276	-2165.703918	22
0	5	1444	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	-2048.925626	78	-2048.925750	0.216654	2.645950e-01,2.359098e-01,5.897290e-08,2.578292e-01,2.416658e-01,3.503049e-10,2.338775e-10,5.592931e-08,1.496989e-08	0.000000	0.489461	0.247337	-2141.461444	30
0	6	1502	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000257	0.000000	0.000000	0.000128	0.000000	0.000000	0.000257	0.000000	0.000257	0.000257	-0.000000	-2135.858746	206	-2135.859211	0.225356	2.625166e-01,2.128224e-01,1.206746e-07,2.279365e-01,2.967213e-01,1.299198e-07,4.557624e-07,2.003623e-06,4.705203e-07	0.000002	0.673201	0.286907	-2205.151020	27
0	7	1489	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000005	0.000000	0.000000	0.000010	0.000000	0.000010	0.000010	0.000000	-2226.066094	106	-2226.066256	0.223406	2.876212e-01,1.991859e-01,7.869126e-07,2.374559e-01,2.757332e-01,1.312127e-06,7.219451e-07,7.656450e-07,2.009986e-07	0.000005	0.631481	0.279048	-2292.540007	23
0	8	1557	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000035	0.000000	0.000000	0.000018	0.000000	0.000000	0.000035	0.000000	0.000035	0.000035	-0.000000	-2243.370892	91	-2243.372001	0.233608	2.387484e-01,2.352623e-01,6.818590e-08,2.003691e-01,3.256188e-01,1.824800e-08,1.081552e-07,8.009269e-09,1.206585e-06	0.000001	0.747464	0.299593	-2264.154333	19
0	9	1335	0.953376	0.000000	0.046624	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046624	0.000000	0.000000	0.023312	0.000000	0.000000	0.046624	0.000000	0.046624	0.046624	0.000000	-1903.440885	86	-1	0.200300	3.005954e-01,1.906583e-01,3.185520e-09,2.090843e-01,2.996620e-01,7.186130e-09,3.471674e-09,3.154262e-09,9.292280e-09	0.000000	0.749637	0.299942	-1948.389815	22
0	10	1704	0.964287	0.000000	0.035712	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035713	0.000000	0.000000	0.017856	0.000000	0.000000	0.035712	0.000000	0.035712	0.035713	-0.000000	-2431.194147	90	-1	0.255664	2.521652e-01,2.316160e-01,4.597506e-08,1.695153e-01,3.467027e-01,3.064835e-08,2.089789e-07,4.272721e-07,5.286698e-08	0.000001	0.864311	0.316757	-2453.349811	22
